ID_Gene	GeneName	ID_Location	ID_Ensmbl
165	-	180	ENSG00000164620
166	-	181	ENSG00000153922
167	-	183	ENSG00000145781
168	-	184	ENSG00000145723
169	-	185	ENSG00000105053
170	-	186	ENSG00000112851
171	-	187	ENSG00000184349
172	-	188	ENSG00000113448
173	-	189	ENSG00000272103
174	-	190	ENSG00000113441
175	-	191	ENSG00000145569
176	-	192	ENSG00000174837
177	-	193	ENSG00000086200
178	-	193	ENSG00000068796
179	-	194	ENSG00000248791
180	-	195	ENSG00000168418
181	-	196	ENSG00000021645
182	-	197	ENSG00000216863
183	-	201	ENSG00000282218
184	-	201	ENSG00000164465
185	-	202	ENSG00000141027
186	-	203	ENSG00000273217
187	-	203	ENSG00000158987
188	-	204	ENSG00000145730
189	-	209	ENSG00000113356
190	-	209	ENSG00000176018
191	-	210	ENSG00000113580
