idLocation	StartGRCh38	EndGRCh38	CythogeneticLocation	Strand	Microindel_idMicroindel
60	20897527	20897526	22	1	52
61	16865721	16865720	22	1	53
62	16877499	16877498	22	1	54
63	20369563	20369562	22	1	55
64	20592928	20592927	22	1	56
65	20568274	20568273	22	1	57
66	20892517	20892516	22	1	58
67	20570753	20570752	22	1	59
68	16835031	16835030	22	1	60
69	20587936	20587935	22	1	61
70	20419969	20419968	22	1	62
71	20402803	20402802	22	1	63
72	20850451	20850450	22	1	64
73	18718507	18718506	22	1	65
74	20462277	20462276	22	1	66
75	18095831	18095830	22	1	67
76	18127714	18127713	22	1	68
77	20566563	20566562	22	1	69
78	29497789	29497788	22	1	70
79	20851191	20851190	22	1	71
80	16853013	16853012	22	1	72
81	20847755	20847754	22	1	73
82	20833658	20833657	22	1	74
83	20482748	20482747	22	1	75
84	20842824	20842823	22	1	76
85	20780792	20780791	22	1	77
86	20811624	20811623	22	1	78
87	36942078	36942077	22	1	79
88	17356068	17356067	22	1	80
89	20808503	20808502	22	1	81
90	20594237	20594236	22	1	82
91	20592867	20592866	22	1	83
92	20797795	20797794	22	1	84
93	20572640	20572639	22	1	85
94	18098769	18098768	22	1	86
95	22435667	22435666	CHR_HSCHR22_1_CTG3	1	87
96	20813318	20813317	22	1	88
97	20377725	20377724	22	1	89
98	18850928	18850927	22	1	90
99	20886120	20886119	22	1	91
100	18092834	18092833	22	1	92
101	18154615	18154614	22	1	93
102	20399572	20399571	22	1	94
103	20830356	20830355	22	1	95
104	18093563	18093562	22	1	96
105	20469779	20469778	22	1	97
106	20897718	20897717	22	1	98
107	20868616	20868615	22	1	99
108	20863315	20863314	22	1	100
109	20861137	20861136	22	1	101
110	20825087	20825086	22	1	102
111	20800715	20800714	22	1	103
112	22435450	22435449	22	1	104
113	22444536	22444535	CHR_HSCHR22_1_CTG3	1	104
114	97600481	97600480	X	1	105
115	97602951	97602950	X	1	106
116	45887947	45887946	7	1	107
117	125673143	125673142	X	1	108
118	141249660	141249659	7	1	109
119	11522624	11522623	7	1	110
120	3678761	3678760	12	1	111
121	142790939	142790938	6	1	112
122	137024721	137024720	6	1	113
123	8564382	8564381	6	1	114
124	94533476	94533475	6	1	115
125	71331637	71331636	6	1	116
126	7771694	7771693	6	1	117
127	10402207	10402206	6	1	118
128	52620988	52620987	6	1	119
129	41417424	41417423	12	1	120
130	40101530	40101529	2	1	121
131	50602735	50602734	6	1	122
132	85142666	85142665	6	1	123
133	42929214	42929213	6	1	124
134	11166697	11166696	6	1	125
135	129642851	129642850	5	1	126
136	131844594	131844593	6	1	127
137	143952478	143952477	6	1	128
138	61092412	61092411	4	1	129
139	70751060	70751059	14	1	130
140	26843945	26843944	22	1	131
141	87296446	87296445	1	1	132
142	45401856	45401855	22	1	133
143	223929861	223929860	2	1	134
144	17320673	17320672	10	1	135
145	2576752	2576751	12	1	136
146	78449547	78449546	10	1	137
147	7680212	7680211	17	1	138
148	77587966	77587965	8	1	139
149	185589630	185589629	4	1	140
150	22226456	22226455	1	1	141
151	40299126	40299125	14	1	142
152	94736780	94736779	9	1	143
153	187505129	187505128	2	1	144
154	89751667	89751666	10	1	145
155	33127359	33127358	15	1	146
156	94449713	94449712	6	1	147
157	143966530	143966529	3	1	148
158	37515410	37515409	17	1	149
159	37520046	37520045	CHR_HSCHR17_7_CTG4	1	149
160	173055380	173055379	5	1	150
161	98605679	98605678	5	1	151
162	180846616	180846615	5	1	152
163	169539293	169539292	5	1	153
164	175350398	175350397	5	1	154
165	141089380	141089379	5	1	155
166	179840473	179840472	5	1	156
167	171750455	171750454	5	1	157
168	179976001	179976000	5	1	158
169	154272459	154272458	5	1	159
170	90573121	90573120	5	1	160
171	135042137	135042136	5	1	161
172	175349304	175349303	5	1	162
173	157194955	157194954	5	1	163
174	156708665	156708664	5	1	164
175	54189048	54189047	19	1	165
176	54189478	54189477	CHR_HSCHR19LRC_COX1_CTG3_1	1	165
177	54189646	54189645	CHR_HSCHR19LRC_COX2_CTG3_1	1	165
178	54189645	54189644	CHR_HSCHR19LRC_PGF1_CTG3_1	1	165
179	76086641	76086640	5	1	166
180	141641287	141641286	5	1	167
181	98874095	98874094	5	1	168
182	142063833	142063832	5	1	169
183	116290380	116290379	5	1	170
184	103112319	103112318	5	1	171
185	49993026	49993025	19	1	172
186	66082633	66082632	5	1	173
187	107501497	107501496	5	1	174
188	59286920	59286919	5	1	175
189	36860949	36860948	5	1	176
190	96991846	96991845	5	1	177
191	14596637	14596636	5	1	178
192	6935111	6935110	19	1	179
193	62460270	62460269	5	1	180
194	14615399	14615398	5	1	181
195	84240872	84240871	16	1	182
196	78957403	78957402	14	1	183
197	6559178	6559177	6	1	184
198	32621581	32621580	20	1	185
199	178051912	178051911	4	1	186
200	58708731	58708730	14	1	187
201	117463497	117463496	6	1	188
202	16181675	16181674	17	1	189
203	131594911	131594910	5	1	190
204	102841049	102841048	5	1	191
205	116394816	116394815	5	1	192
206	98560999	98560998	5	1	193
207	156235247	156235246	5	1	194
208	68443039	68443038	5	1	195
209	90518788	90518787	5	1	196
210	143301530	143301529	5	1	197
211	17,400,000	25,500,000	22q11.2	Not provided	198
212	50,100,000	54,800,000	Xp11.22	Not provided	199
213	192,600,000	198,295,559	3q29	Not provided	200
214	134,500,000	138,900,000	Xq26.3	Not provided	201
215	30,900,000	33,400,000	15q13.3	Not provided	202
216			Xq28	Not provided	203
217	192,600,000	198,295,559	3q29	Not provided	204
218			17q21.31	Not provided	205
219			15q13.3	Not provided	206
220			15q13.2	Not provided	207
221	27,400,000	33,500,000	17q11.2	Not provided	208
