idGene	GeneName	EnsmblID	Location_idLocation
87	Not provided	ENSG00000153162	126
88	Not provided	ENSG00000137203	127
89	Not provided	ENSG00000257228	129
90	Not provided	ENSG00000165966	129
91	Not provided	ENSG00000183023	130
92	Not provided	ENSG00000227028	130
93	Not provided	ENSG00000230472	131
94	Not provided	ENSG00000137161	133
95	Not provided	ENSG00000171611	133
96	Not provided	ENSG00000251680	135
97	Not provided	ENSG00000145808	135
98	Not provided	ENSG00000197594	136
99	Not provided	ENSG00000118495	137
100	Not provided	ENSG00000006432	139
101	Not provided	ENSG00000077935	142
102	Not provided	ENSG00000085449	143
103	Not provided	ENSG00000148488	144
104	Not provided	ENSG00000151067	145
105	Not provided	LRG_334	145
106	Not provided	ENSG00000282863	146
107	Not provided	ENSG00000230417	146
108	Not provided	ENSG00000141510	147
109	Not provided	LRG_321	147
110	Not provided	ENSG00000154556	149
111	Not provided	ENSG00000233110	149
112	Not provided	ENSG00000148120	152
113	Not provided	ENSG00000003436	153
114	Not provided	ENSG00000224063	153
115	Not provided	ENSG00000138182	154
116	Not provided	ENSG00000248905	155
117	Not provided	ENSG00000282513	155
118	Not provided	ENSG00000216853	156
119	Not provided	ENSG00000276023	158
120	Not provided	ENSG00000275066	158
121	Not provided	ENSG00000274047	159
122	Not provided	ENSG00000275932	159
123	Not provided	ENSG00000164463	160
124	Not provided	ENSG00000207210	160
125	Not provided	ENSG00000196670	162
126	Not provided	ENSG00000279047	165
127	Not provided	ENSG00000279558	165
128	Not provided	ENSG00000161011	166
129	Not provided	ENSG00000161010	166
130	Not provided	ENSG00000113269	168
131	Not provided	ENSG00000164574	169
132	Not provided	ENSG00000164199	170
133	Not provided	ENSG00000224186	171
134	Not provided	ENSG00000249082	171
135	Not provided	ENSG00000253980	173
136	Not provided	ENSG00000113263	173
137	Not provided	LRG_189	173
138	Not provided	ENSG00000254163	174
139	Not provided	ENSG00000170624	174
140	Not provided	LRG_205	174
141	Not provided	ENSG00000170892	175
142	Not provided	ENSG00000125505	175
143	Not provided	ENSG00000276935	176
144	Not provided	ENSG00000278622	176
145	Not provided	ENSG00000274796	177
146	Not provided	ENSG00000278322	177
147	Not provided	ENSG00000274078	177
148	Not provided	ENSG00000278519	177
149	Not provided	ENSG00000274672	177
150	Not provided	ENSG00000277025	177
151	Not provided	ENSG00000275165	177
152	Not provided	ENSG00000277733	177
153	Not provided	ENSG00000273896	177
154	Not provided	ENSG00000277923	177
155	Not provided	ENSG00000274129	178
156	Not provided	ENSG00000273592	178
157	Not provided	ENSG00000278712	178
158	Not provided	ENSG00000274194	178
159	Not provided	ENSG00000278605	178
160	Not provided	ENSG00000275118	178
161	Not provided	ENSG00000248127	179
162	Not provided	ENSG00000122012	179
163	Not provided	ENSG00000197948	180
164	Not provided	ENSG00000171720	180
165	Not provided	ENSG00000164620	180
166	Not provided	ENSG00000153922	181
167	Not provided	ENSG00000145781	183
168	Not provided	ENSG00000145723	184
169	Not provided	ENSG00000105053	185
170	Not provided	ENSG00000112851	186
171	Not provided	ENSG00000184349	187
172	Not provided	ENSG00000113448	188
173	Not provided	ENSG00000272103	189
174	Not provided	ENSG00000113441	190
175	Not provided	ENSG00000145569	191
176	Not provided	ENSG00000174837	192
177	Not provided	ENSG00000086200	193
178	Not provided	ENSG00000068796	193
179	Not provided	ENSG00000248791	194
180	Not provided	ENSG00000168418	195
181	Not provided	ENSG00000021645	196
182	Not provided	ENSG00000216863	197
183	Not provided	ENSG00000282218	201
184	Not provided	ENSG00000164465	201
185	Not provided	ENSG00000141027	202
186	Not provided	ENSG00000273217	203
187	Not provided	ENSG00000158987	203
188	Not provided	ENSG00000145730	204
189	Not provided	ENSG00000113356	209
190	Not provided	ENSG00000176018	209
191	Not provided	ENSG00000113580	210
192	Not provided	Not provided	210
193	MRX17	Not provided	212
194	MRX31	Not provided	212
195	Not provided	Not provided	213
196	XLAG	Not provided	214
197	EIG7	Not provided	215
198	SCZD13	Not provided	215
199	Not provided	Not provided	216
200	Not provided	Not provided	217
201	Not provided	Not provided	218
202	Not provided	Not provided	219
203	Not provided	Not provided	220
204	Not provided	Not provided	221

